Fan,Number,Latitude,Longitude,Angle,Apex,Crevasse,Elevation
Abrisham,1,35.615706,56.255005,56,Yes,No,729.5543
Abrisham,2,35.616445,56.250021,53,Yes,No,729.3127
Abrisham,3,35.581628,56.179067,29,No,No,719.3674
Abrisham,4,35.607675,56.221299,46,No,No,725.3999
Abrisham,5,35.618057,56.246695,42,Yes,No,729.1769
Abrisham,6,35.581809,56.182022,58,No,No,719.6476
Abrisham,7,35.554677,56.128085,48,No,No,713.6783
Abrisham,8,35.54227,56.122563,94,No,Yes,713.4351
Abrisham,9,35.535143,56.102373,60,No,No,712.766
Abrisham,10,35.430526,56.077015,76,No,No,708.1768
Abrisham,11,35.620633,56.045528,62,No,No,712.5676
Abrisham,12,35.620731,56.033914,59,No,Yes,712.3874
Abrisham,13,35.488192,56.010569,95,No,Yes,708.7949
Abrisham,14,35.482989,56.007523,91,No,Yes,708.4821
Abrisham,15,35.482499,56.007317,87,No,Yes,708.5422
Abrisham,16,35.482156,56.006442,55,No,Yes,708.5586
Abrisham,17,35.481625,56.006181,64,No,Yes,708.7764
Abrisham,18,35.479373,56.008148,93,No,Yes,708.5056
Abrisham,19,35.479026,56.007576,87,No,Yes,708.4702
Abrisham,20,35.479087,56.009086,48,No,Yes,708.7751
Abrisham,21,35.479019,56.008938,70,No,Yes,708.6204
Abrisham,22,35.478948,56.008952,40,No,Yes,708.6204
Abrisham,23,35.478809,56.007828,51,No,Yes,708.4918
Abrisham,24,35.476592,56.005061,91,No,Yes,708.0544
Abrisham,25,35.475796,55.998894,89,No,Yes,708.124
Abrisham,26,35.475808,55.998362,88,No,Yes,708.3805
Abrisham,27,35.475939,56.000067,50,No,Yes,708.1898
Abrisham,28,35.471173,55.99389,80,No,Yes,708.3407
Abrisham,29,35.471088,55.993665,92,No,Yes,708.1721
Abrisham,30,35.470279,55.991628,57,No,Yes,707.7194
Abrisham,31,35.470025,55.993483,79,No,Yes,707.9715
Abrisham,32,35.469823,55.993536,56,No,Yes,707.7175
Abrisham,33,35.469936,55.993072,87,No,Yes,707.953
Abrisham,34,35.620473,56.069678,29,No,No,714.0417
Abrisham,35,35.620921,56.068123,45,No,No,713.9548
Abrisham,36,35.518043,56.101209,76,No,No,711.5129
Abrisham,37,35.602614,56.041924,59,No,No,712.0093
Abrisham,38,35.60731,56.049722,46,No,No,712.6453
Abrisham,39,35.616197,56.067515,43,No,No,713.6859
Abrisham,40,35.620003,56.073972,43,No,No,713.6998
Abrisham,41,35.569998,56.155052,49,No,No,717.2306
Abrisham,42,35.595685,56.23742,46,No,No,726.3218
Abrisham,43,35.505464,55.946727,89,No,Yes,708.3718
Abrisham,44,35.529517,55.965423,77,No,Yes,708.8807
Abrisham,45,35.536148,55.967716,86,No,Yes,708.8871
Abrisham,46,35.53804,55.970895,88,No,Yes,709.1989
Abrisham,47,35.542322,55.971728,76,No,Yes,709.4005
Abrisham,48,35.498984,55.880494,83,No,Yes,707.2028
Abrisham,49,35.499117,55.878765,90,No,Yes,707.0527
Abrisham,50,35.49971,55.878005,88,No,Yes,707.1305
Abrisham,51,35.500201,55.877761,46,No,Yes,706.9393
Abrisham,52,35.500009,55.876619,72,No,Yes,707.1673
Abrisham,53,35.499885,55.875093,61,No,Yes,706.64
Abrisham,54,35.586116,56.188371,46,No,No,721.1796
Abrisham,55,35.612848,56.103519,55,No,No,715.3698
Abrisham,56,35.588824,56.214422,49,No,No,723.549
Abrisham,57,35.461218,56.008074,74,No,Yes,707.9269
Abrisham,58,35.458702,56.003242,74,No,Yes,707.9282
Abrisham,59,35.458269,56.003067,74,No,Yes,707.9243
Abrisham,60,35.456499,56.001052,73,No,Yes,707.9312
Abrisham,61,35.507447,56.08318,89,No,Yes,711.1736
Abrisham,62,35.510786,56.092354,71,No,No,710.98
Abrisham,63,35.476503,56.061746,90,No,Yes,709.5608
Abrisham,64,35.50487,55.946894,89,No,Yes,708.3874
Abrisham,65,35.499499,55.878404,67,No,Yes,706.7723
Abrisham,66,35.497879,55.875272,81,No,Yes,706.8477
Abrisham,67,35.459192,55.999374,82,No,Yes,707.9681
Abrisham,68,35.54017,55.947269,91,No,Yes,708.9843
