Fan,Drainage10,Drainage8,Drainage6,Drainage4,Drainage2,Fan2,Fan4,Fan6,Fan8,Fan10
Abrisham,78,56,115,86,119,29,20,32,21,11
Canning,763,951,1065,499,302,305,514,319,807,1878
Cusay,351,286,295,263,156,933,284,550,309,462
Ili,488,625,552,406,416,687,589,496,354,289
Karnali,115,68,73,84,261,563,305,356,488,374
Kosi,1310,1170,3130,3710,4080,3270,4090,4650,4460,4200
Manas,180,135,169,197,184,1051,1568,1264,1260,1683
Niger,866,834,974,1181,1190,716,841,516,527,613
Nomhon He,41,62,70,217,85,664,842,539,407,325
Okavango,50,61,45,53,50,45,45,60,56,45
Rud-i-Shur Tabas,117,157,182,45,55,91,91,158,47,68
Saskatchewan,,,296,381,492,453,380,345,420,223
Shire,205,205,137,165,168,123,130,171,128,72
