Fan,OBJECTID,Distance,Elevation,Channel
Abrisham,1,0.1,710.9786,
Abrisham,2,0.2,711.0229,
Abrisham,3,0.3,711.0269,
Abrisham,4,0.4,710.9097,
Abrisham,5,0.5,710.6065,
Abrisham,6,0.6,710.6263,
Abrisham,7,0.7,710.6217,
Abrisham,8,0.8,710.7535,
Abrisham,9,0.9,710.7043,
Abrisham,10,1,710.7249,
Abrisham,11,1.1,710.6455,
Abrisham,12,1.2,710.5329,
Abrisham,13,1.3,710.6953,
Abrisham,14,1.4,710.8513,
Abrisham,15,1.5,710.7247,
Abrisham,16,1.6,710.5259,
Abrisham,17,1.7,710.6269,
Abrisham,18,1.8,710.6721,
Abrisham,19,1.9,710.0799,
Abrisham,20,2,710.451,
Abrisham,21,2.1,710.4537,
Abrisham,22,2.2,710.5476,
Abrisham,23,2.3,710.1237,
Abrisham,24,2.4,710.3604,
Abrisham,25,2.5,710.5023,
Abrisham,26,2.6,710.6814,
Abrisham,27,2.7,710.3351,
Abrisham,28,2.8,710.3196,
Abrisham,29,2.9,710.3256,
Abrisham,30,3,710.2714,
Abrisham,31,3.1,710.0772,
Abrisham,32,3.2,710.6675,
Abrisham,33,3.3,710.3049,
Abrisham,34,3.4,710.6904,
Abrisham,35,3.5,710.6648,
Abrisham,36,3.6,711.0151,
Abrisham,37,3.7,710.6021,
Abrisham,38,3.8,710.7103,
Abrisham,39,3.9,710.5441,
Abrisham,40,4,710.5153,
Abrisham,41,4.1,710.4323,
Abrisham,42,4.2,710.5704,
Abrisham,43,4.3,711.1399,
Abrisham,44,4.4,710.3,
Abrisham,45,4.5,710.2762,
Abrisham,46,4.6,710.1952,
Abrisham,47,4.7,709.9908,
Abrisham,48,4.8,711.5843,
Abrisham,49,4.9,710.6389,
Abrisham,50,5,709.7955,
Abrisham,51,5.1,710.7752,
Abrisham,52,5.2,710.2779,
Abrisham,53,5.3,710.8657,
Abrisham,54,5.4,710.5511,
Abrisham,55,5.5,710.4208,
Abrisham,56,5.6,710.7119,
Abrisham,57,5.7,711.0755,
Abrisham,58,5.8,710.9009,
Abrisham,59,5.9,710.93,
Abrisham,60,6,710.5367,
Abrisham,61,6.1,710.8959,
Abrisham,62,6.2,710.8775,
Abrisham,63,6.3,711.3928,
Abrisham,64,6.4,710.5903,
Abrisham,65,6.5,711.1863,
Abrisham,66,6.6,711.1149,
Abrisham,67,6.7,710.9982,
Abrisham,68,6.8,711.1257,
Abrisham,69,6.9,711.0283,
Abrisham,70,7,710.9906,
Abrisham,71,7.1,711.1348,
Abrisham,72,7.2,711.0152,
Abrisham,73,7.3,711.2045,
Abrisham,74,7.4,711.3729,
Abrisham,75,7.5,711.4122,
Abrisham,76,7.6,711.3784,
Abrisham,77,7.7,711.3558,
Abrisham,78,7.8,711.4799,
Abrisham,79,7.9,711.5449,
Abrisham,80,8,711.674,
Abrisham,81,8.1,711.6572,
Abrisham,82,8.2,711.8577,
Abrisham,83,8.3,711.8278,
Abrisham,84,8.4,711.7886,
Abrisham,85,8.5,712.1899,
Abrisham,86,8.6,711.9236,
Abrisham,87,8.7,712.0513,
Abrisham,88,8.8,712.1356,
Abrisham,89,8.9,712.4114,
Abrisham,90,9,711.98,
Abrisham,91,9.1,712.3159,
Abrisham,92,9.2,712.3212,
Abrisham,93,9.3,712.4858,
Abrisham,94,9.4,712.491,
Abrisham,95,9.5,712.4356,
Abrisham,96,9.6,712.5186,
Abrisham,97,9.7,712.7663,
Abrisham,98,9.8,712.7409,
Abrisham,99,9.9,712.8219,
Abrisham,100,10,712.9089,
Abrisham,101,10.1,713.3216,
Abrisham,102,10.2,713.1725,
Abrisham,103,10.3,713.2462,
Abrisham,104,10.4,713.6423,
Abrisham,105,10.5,713.4731,
Abrisham,106,10.6,713.595,
Abrisham,107,10.7,713.6262,
Abrisham,108,10.8,713.4745,
Abrisham,109,10.9,713.5247,
Abrisham,110,11,713.7513,
Abrisham,111,11.1,713.5872,
Abrisham,112,11.2,713.7632,
Abrisham,113,11.3,713.6785,
Abrisham,114,11.4,713.7873,
Abrisham,115,11.5,713.7927,
Abrisham,116,11.6,713.9644,
Abrisham,117,11.7,713.8646,
Abrisham,118,11.8,714.0613,
Abrisham,119,11.9,714.191,
Abrisham,120,12,714.1573,
Abrisham,121,12.1,714.1417,
Abrisham,122,12.2,714.3116,
Abrisham,123,12.3,714.1603,
Abrisham,124,12.4,714.1756,
Abrisham,125,12.5,714.3962,
Abrisham,126,12.6,714.2741,
Abrisham,127,12.7,714.6039,
Abrisham,128,12.8,714.4401,
Abrisham,129,12.9,714.6536,
Abrisham,130,13,714.8064,
Abrisham,131,13.1,714.7492,
Abrisham,132,13.2,714.4893,
Abrisham,133,13.3,714.4086,
Abrisham,134,13.4,714.7302,
Abrisham,135,13.5,714.6888,
Abrisham,136,13.6,714.9141,
Abrisham,137,13.7,714.7574,
Abrisham,138,13.8,715.0486,
Abrisham,139,13.9,714.9644,
Abrisham,140,14,714.967,
Abrisham,141,14.1,714.9528,
Abrisham,142,14.2,714.9806,
Abrisham,143,14.3,714.9232,
Abrisham,144,14.4,715.0783,
Abrisham,145,14.5,715.1704,
Abrisham,146,14.6,715.1793,
Abrisham,147,14.7,715.1376,
Abrisham,148,14.8,715.2727,
Abrisham,149,14.9,715.7336,
Abrisham,150,15,715.437,
Abrisham,151,15.1,715.5727,
Abrisham,152,15.2,715.675,
Abrisham,153,15.3,715.8394,
Abrisham,154,15.4,715.4988,
Abrisham,155,15.5,715.5462,
Abrisham,156,15.6,715.5615,
Abrisham,157,15.7,715.473,
Abrisham,158,15.8,715.2628,
Abrisham,159,15.9,715.4087,
Abrisham,160,16,715.2881,
Abrisham,161,16.1,715.0878,
Abrisham,162,16.2,715.2053,
Abrisham,163,16.3,715.512,
Abrisham,164,16.4,715.2843,
Abrisham,165,16.5,715.3363,
Abrisham,166,16.6,715.402,
Abrisham,167,16.7,715.3896,
Abrisham,168,16.8,715.3152,
Abrisham,169,16.9,715.3772,
Abrisham,170,17,715.6783,
Abrisham,171,17.1,715.6854,
Abrisham,172,17.2,715.6292,
Abrisham,173,17.3,715.6215,
Abrisham,174,17.4,715.5907,
Abrisham,175,17.5,715.7779,
Abrisham,176,17.6,715.3542,
Abrisham,177,17.7,715.61,
Abrisham,178,17.8,715.718,
Abrisham,179,17.9,715.7654,
Abrisham,180,18,715.8232,
Abrisham,181,18.1,715.4522,
Abrisham,182,18.2,715.5186,
Abrisham,183,18.3,715.6394,
Abrisham,184,18.4,715.5532,
Abrisham,185,18.5,715.5881,
Abrisham,186,18.6,715.4642,
Abrisham,187,18.7,715.4862,
Abrisham,188,18.8,715.726,
Abrisham,189,18.9,715.7381,
Abrisham,190,19,715.5673,
Abrisham,191,19.1,715.5295,
Abrisham,192,19.2,715.6453,
Abrisham,193,19.3,715.7072,
Abrisham,194,19.4,715.5494,
Abrisham,195,19.5,715.6726,
Abrisham,196,19.6,715.465,
Abrisham,197,19.7,715.6926,
Abrisham,198,19.8,715.973,
Abrisham,199,19.9,714.7523,
Abrisham,200,20,715.4269,Channel
Abrisham,201,20.1,715.4449,
Abrisham,202,20.2,715.3064,
Abrisham,203,20.3,715.4456,
Abrisham,204,20.4,715.2338,
Abrisham,205,20.5,715.3881,
Abrisham,206,20.6,715.2165,
Abrisham,207,20.7,715.3566,
Abrisham,208,20.8,715.3891,
Abrisham,209,20.9,715.2697,
Abrisham,210,21,715.4634,
Abrisham,211,21.1,715.3762,
Abrisham,212,21.2,715.37,
Abrisham,213,21.3,715.4149,
Abrisham,214,21.4,715.2756,
Abrisham,215,21.5,715.3268,
Abrisham,216,21.6,715.4755,
Abrisham,217,21.7,715.0539,
Abrisham,218,21.8,715.244,
Abrisham,219,21.9,715.3251,
Abrisham,220,22,714.8577,
Abrisham,221,22.1,715.5092,
Abrisham,222,22.2,715.3184,
Abrisham,223,22.3,715.3314,
Abrisham,224,22.4,715.7547,
Abrisham,225,22.5,715.251,
Abrisham,226,22.6,715.5167,
Abrisham,227,22.7,715.4309,
Abrisham,228,22.8,715.4645,
Abrisham,229,22.9,715.4244,
Abrisham,230,23,715.5374,
Abrisham,231,23.1,715.6846,
Abrisham,232,23.2,715.765,
Abrisham,233,23.3,715.6043,
Abrisham,234,23.4,715.5994,
Abrisham,235,23.5,715.2917,
Abrisham,236,23.6,715.3837,
Abrisham,237,23.7,715.2999,
Abrisham,238,23.8,715.1607,
Abrisham,239,23.9,715.1196,
Abrisham,240,24,715.3932,
Abrisham,241,24.1,715.0821,
Abrisham,242,24.2,715.2443,
Abrisham,243,24.3,715.1148,
Abrisham,244,24.4,715.143,
Abrisham,245,24.5,715.2791,
Abrisham,246,24.6,715.1285,
Abrisham,247,24.7,715.1116,
Abrisham,248,24.8,715.1782,
Abrisham,249,24.9,715.0295,
Abrisham,250,25,714.8735,
Abrisham,251,25.1,714.972,
Abrisham,252,25.2,715.0017,
Abrisham,253,25.3,714.9588,
Abrisham,254,25.4,714.8819,
Abrisham,255,25.5,715.3442,
Abrisham,256,25.6,714.8627,
Abrisham,257,25.7,714.501,
Abrisham,258,25.8,714.6215,
Abrisham,259,25.9,714.5005,
